LastName,FirstName,PhoneNumber,Age,Income,DebtAmount,CreditScore,LoanDuration,MissedPayments,Repay
Smith,Joseph,(555) 917-6420,41,5252,22714,658,60,1,1
Jackson,Patricia,(555) 562-2055,28,6633,22416,728,60,1,0
Garcia,Margaret,(555) 685-6621,31,3626,26652,720,48,0,1
Allen,Lisa,(555) 663-7084,26,3360,19360,654,60,2,1
Lee,Lisa,(555) 978-1657,28,7022,25623,744,60,6,1
White,Barbara,(555) 163-4496,50,7762,19938,689,24,0,1
Lewis,Linda,(555) 737-4439,29,7195,26783,723,12,5,1
Miller,Linda,(555) 266-7762,53,6567,15769,662,24,5,0
Jackson,Christopher,(555) 700-4308,41,5532,21850,702,48,5,1
Garcia,Margaret,(555) 778-1465,63,4576,16447,645,36,5,0
Clark,Daniel,(555) 456-6830,43,7101,18062,607,36,3,1
Clark,Steven,(555) 538-6699,30,7731,26790,692,12,0,1
Doe,Mary,(555) 126-3182,39,3926,28291,700,12,0,1
Martinez,Daniel,(555) 531-7160,47,6142,27236,693,48,6,1
Walker,John,(555) 882-2164,44,5148,22768,704,24,3,1
Clark,Lisa,(555) 513-7445,39,5794,26351,633,60,0,0
Thomas,Margaret,(555) 933-5718,31,5321,16802,609,60,0,1
Martinez,Dorothy,(555) 714-1290,45,5732,24359,722,24,2,0
Moore,Lisa,(555) 497-9064,46,5751,14059,608,36,1,1
Thomas,Mary,(555) 328-3841,25,6813,13894,668,24,5,0
Clark,Linda,(555) 332-2522,60,5534,28084,644,36,4,0
Wilson,Mark,(555) 159-6515,49,6384,16665,681,24,0,1
Davis,Michael,(555) 361-6089,37,6778,20721,686,60,0,1
Hernandez,Susan,(555) 187-5361,61,6634,26756,704,36,3,1
Perez,Susan,(555) 397-8059,38,7922,15976,674,48,5,0
Moore,Steven,(555) 861-9130,58,5645,22962,609,36,0,1
Walker,Robert,(555) 393-2081,61,3976,24785,630,24,2,0
Young,Susan,(555) 420-4245,57,5875,16836,687,24,0,0
Hall,Steven,(555) 507-4895,53,7372,21759,664,12,2,1
Moore,Jason,(555) 872-4066,39,7566,28421,682,36,2,1
Walker,Christopher,(555) 727-2480,47,7842,27876,702,60,3,1
Davis,James,(555) 376-9997,59,5797,22810,723,12,3,1
Martinez,David,(555) 340-3951,62,6955,16443,651,48,3,1
Smith,Sarah,(555) 293-4425,31,3094,26021,637,24,3,1
Johnson,Nancy,(555) 975-4974,36,6023,16215,667,24,0,0
Brown,Linda,(555) 580-5626,47,5570,23751,634,36,5,0
Brown,Joseph,(555) 109-4104,61,4272,24580,636,24,4,0
Lee,Donald,(555) 680-9278,47,5969,20292,659,24,4,1
Garcia,Karen,(555) 761-4437,57,6998,16372,674,60,4,1
Miller,David,(555) 999-1908,44,3919,24498,720,12,5,0
Wilson,Michael,(555) 265-9000,36,7114,26563,666,60,3,1
Hall,Daniel,(555) 799-9482,54,6172,19364,652,12,1,1
Taylor,Charles,(555) 977-5473,62,5303,19543,725,60,0,0
Smith,Mary,(555) 405-4016,25,7635,23836,647,60,2,0
Martinez,Lisa,(555) 641-5215,50,5155,18508,624,12,6,1
Hall,James,(555) 927-6989,50,3290,22640,632,36,4,0
Jackson,Daniel,(555) 573-6815,60,7778,14772,706,36,4,1
Perez,Mary,(555) 137-1314,32,5343,24237,705,36,1,1
Lewis,Jane,(555) 308-1277,61,7898,19287,633,60,2,0
Smith,Jennifer,(555) 451-2870,57,5097,14032,602,36,1,1
Jackson,Susan,(555) 841-8919,48,6853,21241,739,60,2,0
Clark,Mark,(555) 362-8469,57,4234,25450,688,12,6,1
Young,Steven,(555) 633-1581,34,6513,22334,732,24,0,1
Hall,Joseph,(555) 615-3865,57,7389,18067,665,24,0,1
Allen,Michael,(555) 719-5291,34,6989,17787,747,24,2,0
Johnson,Linda,(555) 543-8615,33,7024,17739,622,24,3,0
Williams,Lisa,(555) 142-2080,48,3206,27329,634,36,0,1
Martinez,Barbara,(555) 363-3717,33,5520,16222,696,36,6,1
